Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1165,,6249.00,1.08,1.13,0.552,4.43,0.300
Kepler-117,F8 V,6150.00,1.61,1.13,0.538,4.10,5.300
Kepler-118,,5274.00,1.09,0.81,-0.377,4.32,13.900
Kepler-119,,5595.00,0.84,0.92,-0.037,4.57,3.630
Kepler-120,M0 V,4096.00,0.53,0.65,-0.677,4.73,3.630
Kepler-121,,5311.00,0.70,0.86,-0.474,4.65,0.500
Kepler-123,,6089.00,1.26,1.01,0.410,4.28,0.480
Kepler-1245,,5306.00,0.83,0.86,-0.411,4.55,4.570
Kepler-125,M1 V,3810.00,0.51,0.54,-1.328,4.74,13.500
Kepler-1266,,4996.00,0.83,0.79,-0.530,4.50,5.130
Kepler-128,,6136.00,1.61,1.09,0.575,4.07,4.070
Kepler-131,,5685.00,1.03,1.02,0.022,4.42,3.660
Kepler-1312,,5721.00,0.91,0.98,-0.099,4.52,0.400
Kepler-1315,,4818.00,0.86,0.81,-0.628,4.48,14.000
Kepler-1322,,5704.00,0.80,0.90,-0.101,4.58,0.400
Kepler-133,,5736.00,1.43,1.02,0.410,4.19,9.400
Kepler-1336,,5512.00,1.30,0.94,0.421,4.18,12.300
Kepler-134,,5983.00,1.18,1.06,0.061,4.31,3.550
Kepler-135,,6090.00,1.27,1.25,0.448,4.27,2.620
Kepler-1350,,3827.00,0.53,0.55,-1.283,4.74,4.570
Kepler-136,,6165.00,1.35,1.20,0.467,4.24,2.750
Kepler-1365,,5770.00,1.05,1.00,0.425,4.39,6.030
Kepler-137,,5187.00,0.80,0.91,-0.292,4.55,4.270
Kepler-1370,,6202.00,1.29,1.19,0.458,4.29,2.880
Kepler-1371,,5361.00,0.83,0.87,-0.198,4.55,4.370
Kepler-139,,5594.00,1.30,1.05,0.016,4.25,5.100
Kepler-1398,,6126.00,1.18,1.13,0.312,4.34,3.090
Kepler-140,,6077.00,1.29,1.15,0.251,4.27,0.880
Kepler-141,,4910.00,0.79,1.00,-0.446,4.57,12.390
Kepler-143,,5848.00,1.36,1.06,0.294,4.20,5.620
Kepler-144,,6075.00,1.24,1.15,0.282,4.29,0.940
Kepler-145,,6022.00,1.85,1.32,0.692,4.02,3.240
Kepler-146,,5948.00,1.21,1.10,0.148,4.31,2.700
Kepler-1464,,5828.00,1.01,1.02,0.430,4.44,3.890
Kepler-147,,6012.00,1.47,1.14,0.427,4.18,4.470
Kepler-1488,,5710.00,1.52,1.00,0.587,4.07,6.920
Kepler-151,,5460.00,0.83,0.87,-0.334,4.55,4.600
Kepler-1514,,6145.00,1.29,1.20,0.328,4.29,2.900
Kepler-152,,5088.00,0.72,0.83,-0.465,4.61,2.000
Kepler-153,,5404.00,0.89,0.83,-0.446,4.45,13.800
Kepler-155,M0 V,4508.00,0.62,0.64,-1.210,4.68,2.900
Kepler-156,,5094.00,0.81,0.84,-0.440,4.55,5.370
Kepler-158,,4623.00,0.62,0.66,-0.757,4.66,13.900
Kepler-159,M0 V,4625.00,0.66,0.63,-0.754,4.65,2.510
Kepler-1600,,5119.00,0.83,0.82,-0.339,4.51,4.680
Kepler-161,,5078.00,0.81,0.86,-0.447,4.55,4.680
Kepler-162,,5816.00,0.96,0.95,0.155,4.44,3.020
Kepler-163,,5776.00,0.92,0.88,-0.138,4.52,4.270
Kepler-1641,,6152.00,1.19,1.12,0.131,4.34,3.020
Kepler-1642,,5355.00,0.84,0.88,-0.405,4.54,4.470
Kepler-1649,,3240.00,0.23,0.20,-2.287,5.00,
Kepler-165,,5211.00,0.77,0.79,-0.472,4.54,10.500
Kepler-1656,,5569.00,1.10,1.03,-0.004,4.40,6.310
Kepler-1666,,6293.00,1.15,1.23,0.268,4.41,0.410
Kepler-1669,,4224.00,0.60,0.61,-0.803,4.66,13.900
Kepler-168,,6282.00,1.11,1.11,0.361,4.42,2.290
Kepler-1693,,5553.00,1.10,0.94,-0.218,4.33,0.800
Kepler-170,,5679.00,1.03,1.09,-0.055,4.45,1.800
Kepler-1705,,6312.00,1.26,1.14,0.354,4.30,2.590
Kepler-173,,6031.00,0.95,0.79,0.074,4.40,3.300
Kepler-175,,6064.00,1.01,1.12,0.194,4.47,3.390
Kepler-177,,5732.00,1.32,0.92,0.240,4.10,1.800
Kepler-179,,5302.00,0.76,0.84,-0.278,4.61,0.600
Kepler-180,,5731.00,1.06,0.95,-0.132,4.34,9.700
Kepler-1802,,4245.00,0.64,0.65,-0.925,4.64,13.900
Kepler-181,,5333.00,0.75,0.85,-0.379,4.62,0.500
Kepler-182,,6250.00,1.15,1.16,0.344,4.40,3.090
Kepler-183,,5888.00,0.96,0.94,0.026,4.50,4.270
Kepler-185,,5208.00,0.81,0.81,-0.504,4.54,11.900
Kepler-187,,6105.00,1.29,1.11,0.493,4.27,3.720
Kepler-188,,6021.00,1.14,0.98,0.034,4.35,5.800
Kepler-189,,5235.00,0.75,0.79,-0.448,4.62,0.700
Kepler-190,,5106.00,0.80,0.86,-0.441,4.56,3.720
Kepler-1907,,5159.00,0.80,0.75,-0.625,4.51,14.000
Kepler-193,,6335.00,1.15,1.14,0.100,4.40,0.300
Kepler-195,,5329.00,0.78,0.84,-0.367,4.60,0.700
Kepler-1972,,5818.00,1.38,1.12,0.294,4.20,7.400
Kepler-199,,5644.00,0.97,0.96,-0.097,4.44,1.450
Kepler-200,,5678.00,0.94,0.98,0.008,4.45,6.300
Kepler-201,,6065.00,1.23,1.18,0.348,4.29,2.190
Kepler-202,,4668.00,0.67,0.68,-0.638,4.65,3.240
Kepler-204,,5812.00,1.24,1.03,0.030,4.27,3.300
Kepler-205,M1 V,4321.00,0.55,0.59,-0.956,4.74,3.160
Kepler-209,,5513.00,0.94,0.93,-0.129,4.47,4.470
Kepler-210,M0 V,4559.00,0.65,0.77,-0.799,4.66,1.780
Kepler-211,,5123.00,0.82,0.90,-0.413,4.55,1.550
Kepler-212,,5852.00,1.46,1.17,0.383,4.18,2.500
Kepler-213,,5696.00,1.20,1.07,0.082,4.31,1.620
Kepler-214,,6169.00,1.35,1.11,0.511,4.25,1.580
Kepler-216,,6091.00,1.26,1.11,0.518,4.28,0.280
Kepler-225,M1 V,3682.00,0.48,0.59,-0.996,4.78,2.880
Kepler-227,,5854.00,1.09,0.92,-0.121,4.40,7.700
Kepler-230,,5588.00,0.82,0.84,-0.368,4.55,1.800
Kepler-231,M1 V,3767.00,0.49,0.58,-1.036,4.78,3.470
Kepler-232,,5847.00,0.97,0.97,0.052,4.50,1.400
Kepler-233,,5360.00,0.76,0.85,-0.328,4.61,0.600
Kepler-234,,6224.00,1.11,1.11,0.240,4.42,3.470
Kepler-236,M1 V,3750.00,0.51,0.60,-1.229,4.75,3.160
Kepler-237,,4861.00,0.72,0.70,-0.477,4.58,13.800
Kepler-239,,4914.00,0.76,0.76,-0.475,4.58,3.310
Kepler-240,,4985.00,0.74,0.75,-0.524,4.63,0.900
Kepler-241,,4699.00,0.67,0.67,-0.607,4.63,13.900
Kepler-242,,5020.00,0.85,0.81,-0.613,4.49,14.000
Kepler-243,,5228.00,0.84,0.83,-0.373,4.57,3.500
Kepler-246,,5206.00,0.83,0.79,-0.413,4.56,12.600
Kepler-248,,5190.00,0.83,0.90,-0.418,4.57,2.340
Kepler-252,M0 V,4208.00,0.55,0.61,-0.786,4.72,13.900
Kepler-258,,4942.00,0.92,0.82,-0.575,4.44,13.700
Kepler-259,,5938.00,0.90,0.93,-0.153,4.53,0.400
Kepler-260,,5250.00,0.86,0.92,-0.092,4.49,4.470
Kepler-261,,5098.00,0.79,0.88,-0.471,4.56,3.980
Kepler-262,,5841.00,0.88,0.99,-0.140,4.54,3.550
Kepler-263,,5265.00,0.79,0.80,-0.456,4.58,7.900
Kepler-264,,6158.00,1.55,1.46,0.689,4.15,2.570
Kepler-266,,5885.00,1.03,0.95,0.012,4.45,4.790
Kepler-268,,6081.00,1.27,1.13,0.318,4.29,1.710
Kepler-269,,5847.00,0.96,0.92,0.368,4.50,4.570
Kepler-270,,6067.00,1.46,1.17,0.312,4.20,2.730
Kepler-273,,5626.00,0.81,0.94,-0.341,4.51,5.100
Kepler-274,,6023.00,1.01,1.08,0.201,4.44,3.630
Kepler-277,,5946.00,1.69,1.12,0.568,4.03,5.000
Kepler-278,,4991.00,2.94,1.08,0.620,3.62,7.760
Kepler-28,M0 V,4590.00,0.70,0.75,-0.745,4.29,2.240
Kepler-280,,5744.00,0.89,0.96,-0.064,4.54,4.270
Kepler-283,,4351.00,0.57,0.60,-0.983,4.72,3.090
Kepler-284,,5615.00,0.81,0.92,-0.341,4.58,0.500
Kepler-285,,5411.00,0.81,0.82,-0.279,4.58,0.600
Kepler-287,K7 V,5806.00,1.03,0.97,-0.134,4.40,7.600
Kepler-29,,5378.00,0.73,0.76,-0.297,4.60,0.300
Kepler-290,,5147.00,0.74,0.80,-0.586,4.62,1.100
Kepler-291,,6002.00,1.02,0.90,0.071,4.47,0.300
Kepler-293,,5804.00,0.96,0.94,-0.233,4.50,0.500
Kepler-294,,5913.00,0.98,0.95,-0.148,4.49,0.600
Kepler-297,,5619.00,0.92,0.98,-0.096,4.47,1.900
Kepler-300,,5986.00,0.90,1.07,0.340,4.53,3.630
Kepler-302,,5740.00,1.22,1.02,0.049,4.29,0.500
Kepler-303,M0 V,3944.00,0.48,0.57,-1.066,4.77,3.310
Kepler-307,,5367.00,0.81,0.91,-0.122,4.46,13.500
Kepler-308,,5895.00,0.94,0.92,-0.116,4.51,0.500
Kepler-309,M0 V,4713.00,0.72,0.67,-0.574,4.61,3.020
Kepler-311,,5905.00,1.19,1.08,0.193,4.31,1.950
Kepler-312,,6115.00,1.47,1.23,0.598,4.19,1.480
