Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
HD 14787,G5,4946.00,5.01,1.43,1.115,3.23,
HD 148156,G0/2 V,6308.00,1.21,1.22,0.250,4.56,
HD 148427,K0 III/IV,5025.00,3.86,1.64,0.780,3.48,2.500
HD 149026,G0,6179.00,1.41,1.42,0.480,4.37,2.600
HD 149143,G0,5856.00,1.44,1.20,0.350,4.25,4.280
HD 149806,K0V,5352.05,0.89,0.93,-0.245,4.51,8.360
HD 150010,K2 III,4153.00,16.20,1.30,1.982,2.10,4.900
HD 1502,K0,4947.00,4.67,1.46,1.064,3.18,2.400
HD 150706,G0 V,5961.00,0.96,1.17,0.032,4.50,3.000
HD 152079,G6 V,5907.00,1.13,1.15,0.107,4.37,1.622
HD 152581,K0,5027.00,5.14,1.30,1.173,3.29,12.000
HD 153950,F8 V,6124.00,1.28,1.25,0.346,4.32,4.300
HD 154088,K0 IV-V,5374.00,0.95,0.91,-0.131,4.37,8.000
HD 154345,G8V,5468.00,0.85,0.71,-0.219,4.43,9.527
HD 154672,G3 IV,5743.00,1.32,1.18,0.257,4.27,8.000
HD 155193,F8 IV,6239.00,1.76,1.22,0.641,4.26,
HD 155233,K1 III,4960.00,5.03,1.69,1.129,3.17,
HD 156411,F8 IV/V,5900.00,2.16,1.25,0.731,4.07,4.280
HD 156846,G0 V,6090.00,1.90,1.38,0.697,4.02,2.400
HD 158038,K0,4860.00,4.50,1.30,1.076,3.24,2.500
HD 158996,K5 III,4069.00,50.30,1.80,3.015,1.40,1.600
HD 161178,G9 III,4786.00,10.95,1.06,1.751,2.38,
HD 16141,G5 IV,5757.00,1.48,1.11,0.366,4.14,7.510
HD 16175,G0,5981.00,1.72,1.63,0.508,4.18,3.300
HD 162020,K3 V,4723.00,0.75,0.42,-0.602,4.31,6.000
HD 16417,G1 V,5841.00,1.64,1.20,0.443,4.16,7.000
HD 164509,G5,5859.00,1.11,1.12,0.120,4.44,2.320
HD 164595,G2 V,5790.00,1.02,0.99,0.017,4.44,7.120
HD 164604,K3.5 V,4684.00,0.77,0.77,-0.588,4.62,
HD 165155,G8 V,5426.00,0.95,1.02,-0.155,4.49,11.000
HD 1666,F7 V,6317.00,1.93,1.50,0.730,4.06,1.760
HD 166724,K0 IV-V,5127.00,0.80,0.81,-0.509,4.43,4.000
HD 167042,K1 IV,5010.00,4.30,1.72,1.023,3.29,2.200
HD 168009,G2V,5778.33,1.21,0.99,0.150,4.27,9.680
HD 168746,G5,5570.00,1.09,1.07,0.041,4.39,8.000
HD 168863,,4905.00,0.78,0.80,-0.501,4.56,
HD 1690,K1 III,4374.00,21.66,1.86,1.520,2.04,6.700
HD 16905,,4866.12,0.77,0.79,-0.518,4.56,
HD 170469,G5 IV,5842.00,1.24,1.10,0.204,4.30,6.700
HD 17092,K0 III,4326.00,13.58,6.73,1.756,3.00,2.600
HD 171028,G0,5671.00,2.47,1.53,0.733,3.84,8.590
HD 171238,G8 V,5440.00,1.01,0.96,-0.090,4.43,7.560
HD 17156,G5,6040.00,1.55,1.41,0.390,4.20,3.370
HD 173416,G8,4683.00,13.50,2.00,1.892,2.48,1.730
HD 174205,K2,4308.00,26.60,1.80,2.378,1.80,1.700
HD 175167,G5 IV/V,5635.00,1.75,1.00,0.456,4.09,
HD 175541,G8 IV,5013.00,4.19,1.39,0.934,3.33,1.900
HD 175607,G6 V,5392.00,0.70,0.71,-0.271,4.64,10.320
HD 17674,G0 V,5904.00,1.18,0.98,0.205,4.34,8.400
HD 177565,G8V,5627.00,0.97,1.00,-0.054,4.39,6.880
HD 178911 B,G5,5588.00,1.08,1.24,-0.043,4.46,
HD 179079,G5 IV,5646.00,1.63,1.14,0.380,4.16,6.990
HD 179949,F8 V,6168.00,1.27,1.21,0.301,4.34,1.000
HD 180053,K0,5131.00,4.06,1.75,1.099,3.54,
HD 18015,G6 IV,5603.00,3.13,1.49,0.974,3.64,
HD 180314,K0,4924.00,8.13,2.20,1.643,2.96,1.295
HD 180617,M2.5 V,3534.00,0.48,0.48,-1.490,4.90,
HD 180902,K0 III/IV,4961.00,4.16,1.41,0.973,3.36,2.800
HD 181234,G5,5386.00,1.06,0.94,-0.099,4.37,6.320
HD 181342,K0 III,4945.00,4.71,1.69,1.079,3.28,1.800
HD 181720,G1 V,5736.00,1.50,1.03,0.288,4.09,
HD 183579,G2 V,5788.00,0.99,1.03,0.012,4.50,2.600
HD 185269,G0 IV,5923.00,2.00,1.30,0.694,3.92,4.000
HD 187085,G0 V,6117.00,1.27,1.19,2.130,4.28,2.747
HD 18742,G8/K0 IV,4940.00,5.13,1.36,1.143,3.09,2.300
HD 188015,G5 IV,5746.00,1.13,1.09,0.059,4.45,6.610
HD 188641,,5897.32,1.94,1.07,0.615,3.89,
HD 189733,K2 V,5052.00,0.75,0.79,-0.461,4.49,1.400
HD 190007,K3/4V,4610.00,0.79,0.77,-0.680,4.58,1.000
HD 190228,,5238.00,2.59,1.42,0.657,,
HD 190647,G5 V,5656.00,1.38,1.07,0.297,4.16,7.957
HD 190984,F8 V,5988.00,1.53,0.91,0.430,4.02,
HD 191806,K0,6010.00,1.40,1.07,0.348,4.45,2.900
HD 192263,K2 V,4976.00,0.74,0.66,-0.470,4.51,2.090
HD 192699,G8 IV,5041.00,4.41,1.38,1.009,3.25,1.800
HD 194490,,5861.32,1.15,1.06,0.147,4.34,
HD 195019,G3 IV-V,5751.00,1.48,1.21,0.333,4.18,3.200
HD 196050,G4 V,5879.00,1.42,1.31,0.260,4.25,1.600
HD 196067,G1 V,6017.00,1.73,1.29,0.572,4.24,3.300
HD 19615,K0,4263.00,32.30,1.10,2.515,1.40,6.700
HD 196885 A,F8 V,6254.00,1.31,1.28,0.380,4.31,3.120
HD 197037,F7 V,6150.00,1.10,1.11,0.239,4.40,1.900
HD 199509,G3V,5796.02,0.92,1.04,-0.084,4.51,1.600
HD 19994,F8 V,6188.00,1.80,1.36,0.580,4.29,2.400
HD 202206,G6 V,5766.00,1.04,1.07,0.035,4.50,2.900
HD 202772 A,,6272.00,2.59,1.72,0.971,3.85,1.700
HD 203030,G8 V,5603.00,0.86,0.94,-0.227,4.64,0.100
HD 203473,G5,5780.00,1.33,1.12,0.250,4.09,5.220
HD 2039,G2/G3 IV/V,5945.00,1.19,1.23,0.194,4.38,6.000
HD 204941,K1/2V,5026.00,0.78,0.58,-0.509,4.42,6.670
HD 205158,,6133.55,1.88,1.16,0.653,3.96,
HD 205739,F7 V,6176.00,1.33,1.22,0.360,4.29,2.840
HD 206255,G5 IV/V,5635.00,2.22,1.42,0.652,3.75,
HD 206610,K0 III,4842.00,6.12,1.55,1.276,3.22,3.000
HD 20782,G1.5 V,5782.13,1.13,1.04,0.107,4.35,5.530
HD 207897,K0 V,5070.00,0.78,0.80,-0.444,4.56,7.100
HD 208487,G2 V,6067.00,1.20,1.13,0.244,4.33,8.150
HD 208527,M1 III,4035.00,51.10,1.60,2.863,1.40,2.000
HD 20868,K3/4 IV,4802.00,0.76,0.39,-0.529,4.26,4.500
HD 208897,K0,4860.00,4.98,1.25,1.090,3.13,
HD 209458,G0 V,6091.00,1.19,1.23,0.231,4.45,3.100
HD 210193,G3 V,5790.00,1.06,1.04,0.056,4.43,
HD 210277,G0 V,5538.00,1.07,1.01,-0.032,4.38,12.000
HD 210702,K1 III,4951.00,4.92,1.61,1.149,3.28,2.100
HD 211403,F7 V,6273.00,1.21,1.20,0.364,4.30,
HD 211810,G5,5652.00,1.13,1.03,0.070,4.26,
HD 211970,K7 V,4127.00,0.57,0.61,-1.065,4.69,
HD 212301,F8 V,6239.00,1.16,1.55,0.243,4.50,1.000
HD 212771,G8 IV,5003.00,5.27,1.56,1.188,3.31,6.000
HD 213240,G0/1 V,5979.00,1.51,1.57,0.429,4.27,4.600
HD 213472,,5729.54,1.43,1.05,0.285,4.14,
HD 213519,,5840.00,1.08,1.05,0.089,4.39,
HD 21411,G8 V,5605.00,0.83,0.89,-0.266,4.51,
HD 214823,G0,6215.00,2.04,1.11,0.638,4.05,2.700
HD 216435,G0 V,5999.00,1.80,1.30,0.557,4.15,3.000
HD 216437,G2/3IV,5909.00,1.39,1.17,0.350,4.19,4.750
HD 216536,K0,4639.00,9.83,0.81,1.800,2.36,3.800
HD 216770,G9 V CN+1,5399.00,0.93,0.74,-0.100,4.37,3.100
HD 217850,G8 V,5544.00,1.21,1.03,0.100,4.17,7.590
HD 217958,,5930.64,1.33,1.08,0.292,4.23,
HD 218566,K3V,4730.00,0.85,0.76,-0.452,4.46,8.500
HD 219077,G8 V,5362.00,1.91,0.92,0.425,4.00,8.900
HD 219139,G5 III,4831.00,11.22,1.46,1.795,2.48,
HD 219415,K0 III,4820.00,2.90,1.00,0.620,3.51,7.233
HD 219666,,5527.00,1.03,0.92,-0.028,4.40,10.000
HD 220074,M2 III,3787.00,54.92,2.20,2.894,1.30,4.500
HD 220197,G5,5683.00,0.98,0.91,-0.003,4.42,10.165
HD 220689,G3 V,5921.00,1.07,1.02,0.093,4.36,4.586
HD 220773,F9,5940.00,1.68,1.16,0.498,4.24,4.400
HD 220842,F8,5960.00,1.42,1.13,0.357,4.24,
HD 221287,F7 V,6304.00,1.14,1.25,0.220,4.43,1.300
HD 221416,K0 IV/V,5080.00,2.94,1.21,0.712,3.58,4.900
HD 221420,G2 V,5847.00,1.95,1.06,0.603,4.03,3.650
HD 221585,G8 IV,5620.00,1.85,1.19,0.422,4.05,6.200
HD 222076,K0 III,4806.00,4.10,1.07,0.929,3.31,
HD 222155,G2 V,5701.00,1.85,1.21,0.509,3.99,8.200
HD 222582,G5 V,5790.00,1.13,1.12,0.115,4.38,10.240
HD 224538,F9 IV/V,6097.00,1.54,1.23,0.470,4.19,2.000
HD 224693,G2 V,5894.00,1.93,1.31,0.610,4.38,4.120
HD 22496,K5/M0V,4385.00,0.67,0.68,-1.174,4.69,
HD 22532,G8 III/IV,5038.00,5.69,1.57,1.274,3.09,
HD 22781,K1,5027.00,0.74,0.75,-0.476,4.60,4.800
HD 23079,F9.5 V,5974.00,1.07,1.12,0.133,4.43,2.000
HD 23127,G2 V,5843.00,1.49,1.21,0.452,4.15,4.508
HD 231701,F8 V,6101.00,1.53,1.21,0.470,4.31,3.430
HD 233604,K5,4791.00,10.90,1.50,1.750,2.55,2.400
HD 233832,G0,4981.00,0.68,0.71,-0.523,4.49,5.417
HD 23596,F8 V,6040.00,1.53,1.10,0.458,4.23,5.680
HD 238090,M0.0 V,3933.00,0.57,0.58,-1.154,4.70,
HD 238914,K7,4769.00,12.73,1.47,1.850,2.37,
HD 240210,K3 III,4297.00,25.46,0.82,1.550,2.31,5.085
HD 240237,K2 III,3926.00,71.23,8.76,2.490,1.67,4.420
HD 24064,K0,4052.00,40.00,1.61,2.546,1.44,9.000
HD 24085,G0 V,6034.00,1.41,1.22,0.377,4.20,
HD 25015,K1 V,5160.00,0.83,0.86,-0.384,4.40,4.000
HD 25171,F8 V,6125.00,1.23,1.08,0.276,4.26,4.802
HD 25723,K1 III,4766.00,13.76,2.12,1.944,2.50,0.950
HD 26161,,6057.62,1.46,1.13,0.393,4.16,
HD 2638,K1 V,5186.00,0.94,0.77,-0.330,4.38,3.000
HD 2685,,6801.00,1.56,1.43,0.668,4.21,1.310
HD 26965,K0 V,5072.00,0.87,0.78,-0.340,4.45,6.900
HD 27442,K1/2III,4846.00,3.18,1.23,0.851,3.78,10.000
HD 27631,G3 IV-V,5737.00,0.92,0.94,-0.056,4.46,4.010
HD 27969,G0 V,5966.00,1.27,1.16,0.528,4.12,
HD 28192,,5919.87,1.07,1.08,0.103,4.41,
HD 28254,G1 IV/V,5664.00,1.48,1.06,0.340,4.12,
HD 285507,K4.5 V,4503.00,0.69,0.82,-0.719,4.67,0.625
HD 285968,M2 V,3703.49,0.48,0.50,-1.658,4.75,3.620
HD 28678,G8 IV,4972.00,6.48,1.53,1.360,3.06,1.800
HD 29021,G5,5560.00,0.85,0.85,-0.181,4.44,7.400
HD 290327,G8 V,5505.00,0.95,0.84,-0.140,4.41,
HD 29399,K1 III,4845.00,4.50,1.17,1.002,3.25,6.200
HD 2952,K0 III,4844.00,10.76,1.97,1.850,2.67,
HD 29985,,4678.00,0.57,0.75,-0.846,4.79,
HD 30562,F8 V,5882.00,1.61,1.12,0.450,4.07,3.600
HD 30669,G9 V,5400.00,0.91,0.92,-0.146,4.37,4.800
HD 30856,K0 III,4895.00,4.40,1.17,0.996,3.20,3.800
HD 31253,F8,6130.00,1.75,1.70,0.517,4.18,3.000
HD 32518,K1 III,4580.00,10.22,1.13,1.666,2.10,5.830
HD 32963,G5,5727.00,1.11,0.94,0.064,4.41,4.990
HD 330075,K1,5000.00,0.84,0.47,-0.330,4.26,6.200
HD 331093,K0,5544.00,1.11,1.03,0.006,4.20,
HD 332231,F8,6089.00,1.28,1.13,0.305,4.28,4.300
HD 33283,G3/G5 V,5935.00,1.97,1.38,0.640,4.12,3.630
HD 33564,F6 V,6250.00,1.44,1.25,0.535,4.00,3.000
HD 35759,G0,6060.00,1.76,1.15,0.537,4.24,
HD 360,G8 III,4770.00,10.86,1.69,1.742,2.59,
HD 3651,K0 V,5221.00,0.87,0.80,-0.274,4.45,3.000
HD 3765,K2V,5049.80,0.83,0.85,-0.416,4.53,2.000
HD 38283,F9.5 V,5981.00,1.49,1.37,0.411,4.23,6.200
HD 38801,K0,5338.00,2.03,1.21,0.659,3.88,6.072
HD 39855,G8 V,5576.00,0.74,0.87,-0.316,4.66,
HD 40956,K0,4869.00,8.56,2.00,1.664,3.02,1.350
HD 40979,F8 V,6165.00,1.21,1.45,0.291,4.43,3.560
HD 41004 A,K1/K2 V,5310.00,0.85,0.95,-0.293,4.37,1.000
HD 41004 B,M2 V,5036.00,1.04,0.40,-0.202,4.33,
HD 4113,G5,5688.00,1.08,1.01,0.086,4.40,6.400
HD 42012,K0,5405.00,0.82,0.83,-0.270,4.45,4.100
HD 4208,G7 V Fe-1 CH-0.5,5717.00,0.85,0.88,-0.100,4.50,3.813
HD 42618,G4 V,5727.00,1.00,1.01,-0.009,4.44,3.720
HD 4308,G5V,5686.00,1.02,0.93,-0.004,4.39,4.300
HD 4313,G5,4943.00,5.14,1.63,1.149,3.24,2.000
HD 43691,G0,6093.00,1.60,1.32,0.500,4.28,2.390
HD 44219,G2 V,5752.00,1.32,1.00,0.260,4.21,
HD 45350,G5 V,5566.00,1.26,0.98,0.141,4.23,8.000
HD 45652,G8/K0,5294.00,0.94,0.92,-0.200,4.20,8.400
HD 457,,6114.04,1.28,1.15,0.316,4.28,
HD 46375,K1 IV-V,5285.00,0.91,0.92,-0.245,4.53,9.000
HD 47536,K1 III,4380.00,23.47,2.10,2.248,2.13,10.150
HD 4760,K2,4076.00,42.40,1.05,2.930,1.62,
HD 48265,G5 IV/V,5733.00,1.90,1.31,0.584,3.97,4.201
HD 4917,K0 III/IV,4802.00,5.01,1.32,1.456,2.97,
HD 49674,G5 V,5602.00,1.02,1.03,-0.022,4.44,3.620
HD 50554,F8 V,5987.00,1.02,1.04,0.143,4.33,2.160
HD 52265,G0V,6136.00,1.32,1.20,0.297,4.36,3.500
HD 55696,G0 V,6012.00,1.52,1.29,0.430,4.03,2.640
HD 5583,,4830.00,9.09,1.01,1.610,2.53,7.410
HD 5608,K0,4877.00,5.14,1.53,1.179,3.19,1.720
HD 564,G2/G3 V,5902.00,1.01,0.96,0.019,4.53,5.500
HD 56414,,8500.00,1.75,1.89,1.158,4.26,0.420
HD 56957,,5743.00,1.78,1.03,0.491,3.95,
HD 5891,G5,4673.00,10.64,1.93,1.595,2.67,1.500
HD 59686 A,K2 III,4658.00,13.20,1.90,1.822,2.49,1.730
HD 60292,K0 III,4348.00,27.00,1.70,2.394,1.90,1.800
HD 62509,K0IIIvar,4892.63,8.90,2.00,1.612,2.78,0.980
HD 62549,,5930.46,1.23,1.08,0.228,4.29,
HD 63454,K4 V,4812.00,0.77,0.42,-0.592,4.28,1.000
HD 63765,G9 V,5449.00,0.83,0.65,-0.256,4.41,4.770
HD 64114,G7 V,5676.00,0.88,0.95,-0.137,4.52,
HD 64121,G8/K0 III,5078.00,5.44,1.64,1.248,3.19,
HD 6434,G2/3 V,5769.00,1.12,1.10,0.050,4.38,11.270
HD 66141,K2 III,4323.00,21.40,1.10,2.240,1.78,6.840
HD 6718,G5 V,5801.00,0.95,1.08,0.053,4.51,
HD 68402,G5 IV/V,5950.00,1.02,1.12,0.068,4.47,2.000
HD 69123,K1 III,4842.00,7.72,1.68,1.470,2.86,
HD 70573,G1-1.5 V,5737.00,0.98,1.00,-0.001,4.59,0.102
HD 70642,G5,5732.00,0.98,1.08,0.012,4.46,0.919
HD 7199,K1 IV,5371.00,0.97,0.77,-0.155,4.35,6.790
HD 72490,G5,4934.00,4.96,1.21,1.091,3.21,
HD 72892,G5 V,5688.00,1.22,1.01,0.146,4.27,8.000
HD 73534,G5,4917.00,2.58,1.16,0.522,3.60,7.040
HD 7449,F9.5 V,6024.00,0.97,1.20,0.101,4.52,2.100
HD 75289,G0,6117.00,1.23,1.29,0.312,4.37,5.600
HD 75898,G0,5963.00,1.58,1.26,0.460,4.21,3.560
HD 76700,G6 V,5644.00,1.37,0.99,0.257,4.16,11.000
HD 76920,K1 III,4698.00,7.47,1.17,1.380,2.94,7.100
HD 77338,K0 IV,5341.00,0.97,1.37,-0.260,4.60,
HD 79181,G8 III,4862.00,11.06,1.28,1.790,2.45,
HD 79498,G5,5748.00,1.05,1.08,0.030,4.37,2.710
HD 80606,G5,5561.00,1.04,1.15,-0.002,4.42,5.900
HD 80653,G2,5910.00,1.22,1.18,0.240,4.34,2.670
HD 80869,G1 V,5837.00,1.06,1.06,0.400,4.18,
HD 80883,,5177.91,0.81,0.88,-0.367,4.56,
HD 80913,,6013.24,1.65,1.11,0.508,4.05,
HD 81040,G2/G3,5755.00,0.91,1.03,-0.077,4.54,0.730
HD 81688,G5,4753.00,13.00,2.10,1.857,2.22,1.480
HD 82886,G0,4953.00,5.26,2.53,1.143,3.40,7.000
HD 8326,K2 V,4914.00,0.78,0.80,-0.492,4.55,
HD 8535,G0 V,6136.00,1.19,1.13,0.333,4.46,
HD 85390,K1.5 V,5186.00,0.80,0.76,-0.367,4.41,7.200
HD 85512,K5 V,4300.00,0.71,0.43,-0.775,4.36,5.610
HD 8574,F8,6064.00,1.38,1.34,0.376,4.28,5.600
HD 86065,,4927.56,0.78,0.81,-0.490,4.56,
HD 86081,F8,5939.00,1.46,1.21,0.380,4.18,3.610
HD 86264,F7 V,6210.00,1.88,1.26,0.660,4.02,2.240
HD 8673,F5,6389.05,1.50,1.28,0.530,4.19,
HD 86950,K1 III,4805.00,8.80,1.66,1.560,2.66,
HD 87646,G,5770.00,1.55,1.12,0.960,4.10,
HD 87883,K0,4980.00,0.80,0.81,-0.471,4.55,7.600
HD 88072,,5785.33,1.03,1.04,0.031,4.43,
HD 88133,G5,5392.00,2.20,1.26,0.497,3.88,5.370
HD 89307,G0,5955.00,1.10,1.27,0.131,4.46,2.310
HD 89345,G5,5576.00,1.75,1.16,0.425,4.02,7.530
HD 89744,F7 V,6291.00,2.13,1.86,0.796,4.07,1.880
HD 90156,G5V,5599.00,0.92,0.84,-0.143,4.48,4.400
HD 9174,G8 IV,5577.00,1.67,1.03,0.382,4.03,9.000
HD 93083,K3 V,4995.00,0.85,0.70,-0.387,4.26,1.000
HD 94834,K0,4798.00,4.20,1.11,0.993,3.22,
HD 95086,A8 III,7595.00,1.49,1.60,0.821,4.34,0.017
HD 95127,K0,4218.00,41.01,3.70,2.280,1.78,5.500
HD 95338,K0.5 V,5212.00,0.87,0.83,-0.310,4.54,5.080
HD 95544,G3 V,5722.00,1.09,1.01,0.478,4.07,
HD 95872,K0 V,5312.00,0.84,0.70,-0.242,4.43,10.000
HD 96063,G6 V,5020.00,4.75,1.37,1.104,3.33,9.000
HD 96127,K2 III,3943.00,51.10,10.94,2.860,2.06,4.067
HD 96167,G5,5733.00,1.94,1.27,0.570,3.99,4.850
HD 96992,K0,4725.00,7.43,0.96,1.470,2.76,
HD 97037,,5874.10,1.26,1.06,0.234,4.26,
HD 97048,Be9.5/AO,10000.00,2.25,2.40,1.602,4.14,0.003
HD 97658,K1 V,5212.00,0.73,0.85,-0.455,4.64,3.900
HD 98219,K0 III/IV,4925.00,4.60,1.41,1.049,3.36,4.000
HD 98649,G3/G5 V,5759.00,1.01,1.02,-0.014,4.38,4.440
HD 98736,G5,5271.00,0.93,0.92,-0.220,4.47,7.390
HD 99109,G8/K0 IV,5282.00,0.98,0.76,-0.172,4.34,1.000
HD 99283,K0 III,4886.00,11.21,1.76,1.810,2.57,
HD 99492,K2 V,4815.00,0.83,0.48,-0.475,4.28,4.800
HIP 105854,K2 III,4780.00,10.31,2.10,1.670,2.94,
HIP 107772,M0 V,4006.00,0.51,0.63,-1.163,4.73,
HIP 107773,K1 III,4945.00,11.60,2.42,1.870,2.60,
HIP 109384,G5,5180.00,0.83,0.78,-0.319,4.43,
HIP 109600,G5,5530.00,0.97,0.87,-0.079,4.45,
HIP 114933,K0 III,4823.00,5.27,1.39,1.140,2.99,3.400
HIP 116454,K1,5089.00,0.72,0.81,-0.471,4.59,2.000
HIP 12961,M0,3901.00,0.65,0.69,-1.003,4.65,
HIP 21152,F5 V,6596.11,1.59,1.30,0.636,4.17,0.750
HIP 34222,K7 V,4050.00,0.62,0.62,-1.033,4.65,
HIP 35173,K2 V,4881.00,0.77,0.79,-0.514,4.52,
HIP 35965,,4836.00,0.70,0.78,-0.620,4.64,
HIP 4845,K7V,4010.00,0.60,0.62,-1.034,4.62,
HIP 48714,M0.5 Ve,4015.50,0.60,0.58,-1.156,4.66,
HIP 55507,M0,4171.00,0.72,0.65,-0.845,4.53,
HIP 56640,K1 III,4769.00,4.93,1.75,1.050,2.91,9.150
HIP 5763,K6 V,4352.00,0.75,0.72,-0.740,4.52,
HIP 63242,G8,4830.00,10.28,1.54,1.630,2.53,
HIP 65 A,K4 V,4590.00,0.72,0.78,-0.678,4.61,4.100
HIP 65426,A2 V,8840.00,1.77,1.96,1.269,4.32,0.014
HIP 65891,K0 III,5000.00,8.93,2.49,1.650,2.90,
HIP 67522,G1 V,5675.00,1.38,1.22,0.243,4.20,0.017
HIP 67537,K1 III,4985.00,8.69,2.32,1.617,2.85,
HIP 70849,K7 V,4105.00,0.63,0.63,-1.048,4.62,3.000
HIP 71135,M1,4146.00,0.68,0.66,-0.908,4.54,
HIP 74890,K1 III,4850.00,5.77,1.74,1.215,3.10,
HIP 75056 A,A2 V,8610.00,1.65,1.92,1.129,4.34,0.012
HIP 75092,K0 III,4891.00,4.53,1.28,1.020,3.09,4.300
HIP 78530,B9 V,10500.00,2.11,2.50,1.368,4.13,0.005
HIP 79098 AB,B9 V,9193.75,,3.75,,,0.010
HIP 79431,M3 V,3191.00,0.48,0.49,-1.549,4.76,
HIP 86221,K5 V,,,0.79,,,
HIP 90988,K1 III,4883.00,3.94,1.61,0.890,3.32,4.550
HIP 91258,G5 V,5519.00,0.89,0.97,-0.222,4.53,2.400
HIP 94235,G V,5991.00,1.08,1.09,0.138,4.46,0.118
HIP 948,,4497.00,0.69,0.71,-0.758,4.61,
HIP 97233,K0,5020.00,5.34,1.81,1.204,3.26,
HN Peg,G0 V,6186.00,1.01,1.08,0.060,4.48,0.300
HR 2562,F5 V,6785.00,1.47,1.30,0.531,4.40,0.600
HR 5183,G0 V,5794.00,1.53,1.07,0.397,4.02,7.700
HR 810,G0V,6167.00,1.13,1.34,0.253,4.46,2.720
HW Vir,,8868.67,,0.48,,,
IC 4651 9122,,4740.10,10.27,2.10,1.636,2.52,1.140
K2-10,F9,5620.00,0.98,0.92,-0.101,4.50,
K2-100,G0 V,5945.00,1.24,1.15,0.250,4.33,0.750
K2-101,K3,4927.00,0.76,0.82,-0.595,4.59,0.790
K2-102,K5,4695.00,0.71,0.77,-0.657,4.53,0.790
K2-104,M2.5e,3712.00,0.48,0.51,-1.434,4.78,0.790
K2-105,K1,5636.00,0.97,1.05,-0.189,4.49,0.600
K2-107,F9 IV,6061.00,1.81,1.30,0.464,4.04,4.250
K2-108,,5599.00,1.76,1.17,0.405,4.02,7.800
K2-11,G8,5433.00,5.15,1.35,-0.310,4.56,
K2-110,K3 V,4950.00,0.71,0.75,-0.567,4.61,8.000
K2-113,G,5660.00,1.24,1.04,0.009,4.27,5.900
K2-114,,4920.00,0.82,0.86,-0.445,4.54,7.200
K2-115,G4,5657.00,0.88,0.95,-0.145,4.53,10.700
K2-116,,4348.35,0.67,0.69,-0.746,4.64,
K2-118,,4726.29,0.73,0.76,-0.561,4.53,
K2-119,,4740.00,0.71,0.76,-0.685,4.62,
K2-12,F9,5800.00,1.01,1.01,0.072,4.30,
K2-120,,4349.90,0.67,0.69,-0.664,,
K2-121,,4690.00,0.67,0.69,-0.745,4.63,
K2-122,M0,4009.00,0.59,0.63,-1.102,4.69,
K2-123,,4035.00,0.59,0.62,-1.143,4.69,
K2-124,,3570.00,0.39,0.39,-1.659,4.86,
K2-125,,3654.47,0.40,0.49,-1.641,4.83,
K2-126,,4339.00,0.65,0.69,-0.878,4.66,
K2-127,,4575.00,0.66,0.72,-0.254,4.65,
K2-128,,4469.51,0.78,0.71,-0.822,4.70,
K2-129,,3459.09,0.36,0.36,-1.828,4.87,
K2-13,G3,5698.00,0.78,0.80,-0.135,4.33,
K2-130,,4356.47,0.74,0.70,-0.799,4.62,
K2-131,,5200.00,0.81,0.84,-0.479,4.60,
K2-132,,4840.00,3.85,1.08,0.943,3.30,8.500
K2-137,M3 V,3697.00,0.29,0.46,-1.484,5.00,
K2-139,K0 V,5370.00,0.88,0.96,-0.299,4.54,1.800
K2-14,M0,3789.00,0.45,0.47,-0.968,4.89,
K2-140,G6 V,5585.00,1.06,0.96,-0.049,4.40,9.800
K2-147,,3775.00,0.31,0.58,-1.292,5.00,
K2-149,M1.0 V,3745.00,0.57,0.59,-1.310,4.71,
K2-15,G8,5131.00,0.68,0.72,-0.453,4.57,
K2-150,M2.5 V,3499.00,0.44,0.46,-1.585,4.82,
K2-151,M1.5 V,3695.00,0.45,0.47,-1.553,4.80,
K2-152,M0.0 V,4044.00,0.61,0.63,-1.060,4.67,
K2-153,M3.0 V,3845.00,0.53,0.55,-1.367,4.73,
K2-156,,4460.00,0.62,0.66,-0.838,4.70,
K2-157,,5456.00,0.88,0.94,-0.210,4.50,
K2-159,,5425.00,0.83,0.90,-0.296,4.56,
K2-160,,5649.00,0.91,0.98,-0.137,4.61,
K2-161,,4972.00,2.57,0.99,0.919,3.63,
K2-162,,4842.00,0.69,0.75,-0.657,4.63,
K2-163,,4937.00,0.76,0.83,-0.541,4.71,
K2-164,,5791.00,2.20,1.18,0.590,3.81,
K2-167,F7 V,6141.00,1.46,1.34,0.436,4.24,2.100
K2-169,,5548.00,0.92,0.99,-0.161,4.56,
K2-17,K7,4320.00,0.66,0.71,-0.997,4.80,
K2-171,,5250.00,1.72,0.89,0.516,3.95,
K2-173,,5580.00,0.84,0.88,-0.060,4.52,
K2-174,,4455.00,0.68,0.70,-0.773,4.62,
K2-175,,5909.00,1.42,1.09,0.419,4.11,
K2-176,,5428.00,0.86,0.94,-0.348,4.63,
K2-177,,6063.00,1.21,1.21,0.342,4.38,
K2-178,,5525.00,0.89,0.95,-0.284,4.55,
K2-179,,5015.00,0.77,0.82,-0.523,4.63,
K2-180,K2 V,5306.00,0.72,0.72,-0.439,4.57,9.500
K2-181,,5608.00,1.07,0.99,-0.013,4.38,
K2-182,,5170.00,0.79,0.86,-0.408,4.61,2.070
